,Town,Latitude,Longitude,geometry,lc_dev_0,lc_dev_1,lc_dev_2,lc_dev_3,lc_is_water/wetland,lc_is_forest/shrub,lc_is_grass/crop,tcc,pop20_density
67,LEYDEN,938962.9056773311,107697.23172082713,POINT (107697.23172082713 938962.9056773311),0,0,0,0,0,0,1,0,0.24308998040989702
68,DEERFIELD,919644.4070309304,108817.90666472932,POINT (108817.90666472932 919644.4070309304),0,0,0,0,0,0,1,0,0.5571156766016836
69,GREENFIELD,929852.7669540186,109866.25601616096,POINT (109866.25601616096 929852.7669540186),1,0,0,0,0,0,0,79,5.257759443926988
70,SOUTH HADLEY,890142.7598287796,110943.54611366383,POINT (110943.54611366383 890142.7598287796),1,0,0,0,0,0,0,85,1.5578168340446368
71,LONGMEADOW,866909.1701796972,111262.48519314958,POINT (111262.48519314958 866909.1701796972),1,0,0,0,0,0,0,72,6.271513816047882
72,CHICOPEE,881216.4211558426,111446.38364427374,POINT (111446.38364427374 881216.4211558426),0,0,1,0,0,0,0,24,6.51889248931372
73,HADLEY,901121.1285662638,111913.23473993927,POINT (111913.23473993927 901121.1285662638),0,0,0,0,0,0,1,0,0.7065339563557032
74,SUNDERLAND,913266.416514574,113267.2835934644,POINT (113267.2835934644 913266.416514574),0,0,0,0,0,1,0,88,0.5320001649153902
75,SPRINGFIELD,874422.0746838982,114035.75504403976,POINT (114035.75504403976 874422.0746838982),1,0,0,0,0,0,0,0,7.94157910326663
76,BERNARDSTON,938421.8969189344,114038.85909129892,POINT (114038.85909129892 938421.8969189344),0,0,1,0,0,0,0,37,0.24308998040989702
77,MONTAGUE,923201.2076939914,116422.9196553917,POINT (116422.9196553917 923201.2076939914),0,0,0,0,0,1,0,87,0.5287359348892021
78,AMHERST,902039.9104507389,117063.2179678595,POINT (117063.2179678595 902039.9104507389),0,0,0,0,0,0,1,0,11.043911300740138
79,GILL,931953.1842759144,117065.71054094814,POINT (117065.71054094814 931953.1842759144),0,0,0,0,0,0,1,45,0.4045314135997014
80,GRANBY,890525.8898550789,117194.39528764348,POINT (117194.39528764348 890525.8898550789),0,0,0,0,0,0,1,0,0.6445433507520613
81,EAST LONGMEADOW,868192.3956055576,117309.86198298524,POINT (117309.86198298524 868192.3956055576),0,0,0,0,1,0,0,88,3.8184051619048436
82,LEVERETT,914144.4169316218,118800.71249300812,POINT (118800.71249300812 914144.4169316218),0,0,0,0,0,1,0,90,0.3137129813310233
83,LUDLOW,882851.0953522085,120868.57824190342,POINT (120868.57824190342 882851.0953522085),0,0,0,0,1,0,0,88,1.5736766867401555
84,NORTHFIELD,936561.7269583608,122462.36837245538,POINT (122462.36837245538 936561.7269583608),0,0,0,0,0,1,0,87,0.27312360590381124
85,WILBRAHAM,875593.8129056733,123037.2650135932,POINT (123037.2650135932 875593.8129056733),0,0,1,0,0,0,0,0,2.090813940445772
86,ERVING,928974.6897265258,123762.63179594748,POINT (123762.63179594748 928974.6897265258),0,0,0,0,0,1,0,90,0.5119071383175275
87,HAMPDEN,868567.554667989,124218.14242385296,POINT (124218.14242385296 868567.554667989),0,0,1,0,0,0,0,30,0.6949863164773578
88,SHUTESBURY,912194.8724910412,124384.6307347947,POINT (124384.6307347947 912194.8724910412),0,0,0,0,0,1,0,82,0.2444899900409197
89,PELHAM,903772.5073745532,124533.07172129756,POINT (124533.07172129756 903772.5073745532),0,0,0,0,0,1,0,79,0.1861756570689988
90,WENDELL,922947.3085287674,125678.90774720392,POINT (125678.90774720392 922947.3085287674),0,0,0,0,0,1,0,86,0.11071037721420587
91,BELCHERTOWN,892419.9810594899,125735.0600803882,POINT (125735.0600803882 892419.9810594899),0,0,0,0,0,1,0,32,3.442899796134764
92,WARWICK,936616.4236079474,131104.02300955745,POINT (131104.02300955745 936616.4236079474),1,0,0,0,0,0,0,83,0.09214402964186988
93,MONSON,871769.9237728255,131660.04680307838,POINT (131660.04680307838 871769.9237728255),0,0,0,0,0,0,1,64,0.6130563081520651
94,NEW SALEM,911646.9018881938,131991.22917233262,POINT (131991.22917233262 911646.9018881938),0,0,0,0,0,1,0,87,0.06466865966856125
95,PALMER,882356.9716806082,132996.13579334406,POINT (132996.13579334406 882356.9716806082),0,0,0,0,0,0,1,0,0.5831653792460506
96,ORANGE,928745.383684901,134920.74440275726,POINT (134920.74440275726 928745.383684901),0,0,0,0,0,1,0,64,1.4546659320464845
97,WARE,892537.464662814,135306.97053642842,POINT (135306.97053642842 892537.464662814),1,0,0,0,0,0,0,41,0.387626671378596
98,WALES,868249.9510332645,139308.82387202868,POINT (139308.82387202868 868249.9510332645),0,0,0,0,0,1,0,81,0.44258152072535684
99,PETERSHAM,912377.857125994,140689.07013472758,POINT (140689.07013472758 912377.857125994),0,0,0,0,0,1,0,87,0.06755743679014621
